Assert (16),Async Hooks (5),Buffer (67),C++ Addons (1),Child Process (12),Cluster (9),Console (25),Crypto (72),DNS (37),Errors (2),Events (16),File System (130),HTTP (28),HTTP/2 (43),HTTPS (9),Inspector (6),Modules (4),Net (41),OS (17),Path (11),Performance Timing API (11),Process (30),Query String (4),Readline (13),REPL (5),Stream (36),String Decoder (2),Timers (11),TLS (SSL) (25),Trace Events (4),TTY (3),UDP/Datagram Sockets (20),URL (22),Util (71),V8 (27),VM (Executing JavaScript) (14),Worker Threads (9),Zlib (24)
"assert.notEqual(actual, expected[, message])",,"Class Method: Buffer.from(string[, encoding])",,"subprocess.send(message[, sendHandle[, options]][, callback])",,console.groupEnd(),cipher.setAutoPadding([autoPadding]),"dns.resolveNaptr(hostname, callback)",,"emitter.prependListener(eventName, listener)",stats.isFIFO(),request.removeHeader(name),"clienthttp2session.request(headers[, options])",,,,server.ref(),os.release(),path.resolve([...paths]),performanceObserverEntryList.getEntriesByType(type),process.geteuid(),,"readline.cursorTo(stream, x, y)",,readable.pause(),,clearTimeout(timeout),tlsSocket.getFinished(),,,socket.setBroadcast(flag),"urlSearchParams.set(name, value)","textDecoder.decode([input[, options]])",serializer.writeUint32(value),vm.isContext(sandbox),,"zlib.deflate(buffer[, options], callback)"
"assert.notStrictEqual(actual, expected[, message])",,"Class Method: Buffer.from(object[, offsetOrEncoding[, length]])",,subprocess.unref(),,"console.info([data][, ...args])","cipher.update(data[, inputEncoding][, outputEncoding])","dns.resolveNs(hostname, callback)",,"emitter.prependOnceListener(eventName, listener)",stats.isFile(),"request.setHeader(name, value)","http2stream.close(code[, callback])",,,,server.unref(),"os.setPriority([pid, ]priority)",,,process.getgid(),,"readline.emitKeypressEvents(stream[, interface])",,"readable.pipe(destination[, options])",,,tlsSocket.getPeerCertificate([detailed]),,,socket.setMulticastInterface(multicastInterface),urlSearchParams.sort(),textEncoder.encode([input]),"serializer.writeUint64(hi, lo)","vm.runInContext(code, contextifiedSandbox[, options])",,"zlib.deflateSync(buffer[, options])"
"assert.ok(value[, message])",,Class Method: Buffer.isBuffer(obj),,,,"console.log([data][, ...args])",decipher.final([outputEncoding]),"dns.resolvePtr(hostname, callback)",,emitter.removeAllListeners([eventName]),stats.isSocket(),request.setNoDelay([noDelay]),http2stream.priority(options),,,,new net.Socket([options]),os.tmpdir(),,,process.getgroups(),,"readline.moveCursor(stream, dx, dy)",,readable.read([size]),,,tlsSocket.getPeerFinished(),,,socket.setMulticastLoopback(flag),urlSearchParams.toString(),util.types.isAnyArrayBuffer(value),serializer.writeDouble(value),"vm.runInNewContext(code[, sandbox[, options]])",,"zlib.deflateRaw(buffer[, options], callback)"
"assert.rejects(block[, error][, message])",,Class Method: Buffer.isEncoding(encoding),,,,"console.table(tabularData[, properties])","decipher.setAAD(buffer[, options])","dns.resolveSoa(hostname, callback)",,"emitter.removeListener(eventName, listener)",stats.isSymbolicLink(),"request.setSocketKeepAlive([enable][, initialDelay])","http2stream.setTimeout(msecs, callback)",,,,socket.address(),os.totalmem(),,,process.getuid(),,,,readable.resume(),,,tlsSocket.getProtocol(),,,socket.setMulticastTTL(ttl),urlSearchParams.values(),util.types.isArgumentsObject(value),serializer.writeRawBytes(buffer),"vm.runInThisContext(code[, options])",,"zlib.deflateRawSync(buffer[, options])"
"assert.strictEqual(actual, expected[, message])",,"buf.compare(target[, targetStart[, targetEnd[, sourceStart[, sourceEnd]]]])",,,,console.time([label]),decipher.setAuthTag(buffer),"dns.resolveSrv(hostname, callback)",,emitter.setMaxListeners(n),"fs.access(path[, mode], callback)","request.setTimeout(timeout[, callback])",http2stream.sendTrailers(headers),,,,socket.connect(),os.type(),,,process.hasUncaughtExceptionCaptureCallback(),,,,readable.setEncoding(encoding),,,tlsSocket.getSession(),,,socket.setRecvBufferSize(size),urlSearchParams[Symbol.iterator](),util.types.isArrayBuffer(value),serializer._writeHostObject(object),,,"zlib.gunzip(buffer[, options], callback)"
"assert.throws(block[, error][, message])",,"buf.copy(target[, targetStart[, sourceStart[, sourceEnd]]])",,,,console.timeEnd([label]),decipher.setAutoPadding([autoPadding]),"dns.resolveTxt(hostname, callback)",,emitter.rawListeners(eventName),"fs.accessSync(path[, mode])","request.write(chunk[, encoding][, callback])",http2stream.additionalHeaders(headers),,,,"socket.connect(options[, connectListener])",os.uptime(),,,process.memoryUsage(),,,,readable.unpipe([destination]),,,tlsSocket.getTLSTicket(),,,socket.setSendBufferSize(size),url.domainToASCII(domain),util.types.isAsyncFunction(value),serializer._getDataCloneError(message),,,"zlib.gunzipSync(buffer[, options])"
,,buf.entries(),,,,"console.timeLog([label][, ...data])","decipher.update(data[, inputEncoding][, outputEncoding])","dns.reverse(ip, callback)",,,"fs.appendFile(path, data[, options], callback)",server.close([callback]),"http2stream.pushStream(headers[, options], callback)",,,,"socket.connect(path[, connectListener])",os.userInfo([options]),,,"process.nextTick(callback[, ...args])",,,,readable.unshift(chunk),,,"tlsSocket.renegotiate(options, callback)",,,socket.setTTL(ttl),url.domainToUnicode(domain),util.types.isBigInt64Array(value),serializer._getSharedArrayBufferId(sharedArrayBuffer),,,"zlib.gzip(buffer[, options], callback)"
,,buf.equals(otherBuffer),,,,"console.trace([message][, ...args])","diffieHellman.computeSecret(otherPublicKey[, inputEncoding][, outputEncoding])",dns.setServers(servers),,,"fs.appendFileSync(path, data[, options])",server.listen(),"http2stream.respond([headers[, options]])",,,,"socket.connect(port[, host][, connectListener])",,,,"process.send(message[, sendHandle[, options]][, callback])",,,,readable.wrap(stream),,,tlsSocket.setMaxSendFragment(size),,,socket.unref(),"url.format(URL[, options])",util.types.isBigUint64Array(value),serializer._setTreatArrayBufferViewsAsHostObjects(flag),,,"zlib.gzipSync(buffer[, options])"
,,"buf.fill(value[, offset[, end]][, encoding])",,,,"console.warn([data][, ...args])",diffieHellman.generateKeys([encoding]),dnsPromises.getServers(),,,"fs.chmod(path, mode, callback)","server.setTimeout([msecs][, callback])","http2stream.respondWithFD(fd[, headers[, options]])",,,,socket.destroy([exception]),,,,process.setegid(id),,,,readable[Symbol.asyncIterator](),,,"tls.checkServerIdentity(hostname, cert)",,,"dgram.createSocket(options[, callback])",url.format(urlObject),util.types.isBooleanObject(value),deserializer.readHeader(),,,"zlib.inflate(buffer[, options], callback)"
,,"buf.includes(value[, byteOffset][, encoding])",,,,console.markTimeline([label]),diffieHellman.getGenerator([encoding]),"dnsPromises.lookup(hostname[, options])",,,"fs.chmodSync(path, mode)",response.addTrailers(headers),"http2stream.respondWithFile(path[, headers[, options]])",,,,"socket.end([data][, encoding])",,,,process.seteuid(id),,,,transform.destroy([error]),,,"tls.connect(options[, callback])",,,"dgram.createSocket(type[, callback])","url.parse(urlString[, parseQueryString[, slashesDenoteHost]])",util.types.isDataView(value),deserializer.readValue(),,,"zlib.inflateSync(buffer[, options])"
,,"buf.indexOf(value[, byteOffset][, encoding])",,,,console.profile([label]),diffieHellman.getPrime([encoding]),"dnsPromises.lookupService(address, port)",,,"fs.chown(path, uid, gid, callback)","response.end([data][, encoding][, callback])",server.close([callback]),,,,socket.pause(),,,,process.setgid(id),,,,"stream.finished(stream, callback)",,,"tls.connect(path[, options][, callback])",,,,"url.resolve(from, to)",util.types.isDate(value),"deserializer.transferArrayBuffer(id, arrayBuffer)",,,"zlib.inflateRaw(buffer[, options], callback)"
,,buf.keys(),,,,console.profileEnd([label]),diffieHellman.getPrivateKey([encoding]),"dnsPromises.resolve(hostname[, rrtype])",,,"fs.chownSync(path, uid, gid)",response.getHeader(name),server.close([callback]),,,,socket.ref(),,,,process.setgroups(groups),,,,"stream.pipeline(...streams[, callback])",,,"tls.connect(port[, host][, options][, callback])",,,,,util.types.isExternal(value),deserializer.getWireFormatVersion(),,,"zlib.inflateRawSync(buffer[, options])"
,,"buf.lastIndexOf(value[, byteOffset][, encoding])",,,,console.timeStamp([label]),diffieHellman.getPublicKey([encoding]),"dnsPromises.resolve4(hostname[, options])",,,"fs.close(fd, callback)",response.getHeaderNames(),"http2.createServer(options[, onRequestHandler])",,,,socket.resume(),,,,process.setuid(id),,,,"writable._write(chunk, encoding, callback)",,,tls.createSecureContext([options]),,,,,util.types.isFloat32Array(value),deserializer.readUint32(),,,"zlib.unzip(buffer[, options], callback)"
,,buf.readDoubleBE(offset),,,,console.timeline([label]),"diffieHellman.setPrivateKey(privateKey[, encoding])","dnsPromises.resolve6(hostname[, options])",,,fs.closeSync(fd),response.getHeaders(),"http2.createSecureServer(options[, onRequestHandler])",,,,socket.setEncoding([encoding]),,,,process.setUncaughtExceptionCaptureCallback(fn),,,,"writable._writev(chunks, callback)",,,"tls.createServer([options][, secureConnectionListener])",,,,,util.types.isFloat64Array(value),deserializer.readUint64(),,,"zlib.unzipSync(buffer[, options])"
,,buf.readDoubleLE(offset),,,,console.timelineEnd([label]),"diffieHellman.setPublicKey(publicKey[, encoding])",dnsPromises.resolveAny(hostname),,,"fs.copyFile(src, dest[, flags], callback)",response.hasHeader(name),"http2.connect(authority[, options][, listener])",,,,"socket.setKeepAlive([enable][, initialDelay])",,,,process.umask([mask]),,,,"writable._destroy(err, callback)",,,tls.getCiphers(),,,,,util.types.isGeneratorFunction(value),deserializer.readDouble(),,,
,,buf.readFloatBE(offset),,,,,"Class Method: ECDH.convertKey(key, curve[, inputEncoding[, outputEncoding[, format]]])",dnsPromises.resolveCname(hostname),,,"fs.copyFileSync(src, dest[, flags])",response.removeHeader(name),http2.getDefaultSettings(),,,,socket.setNoDelay([noDelay]),,,,process.uptime(),,,,writable._final(callback),,,,,,,,util.types.isGeneratorObject(value),deserializer.readRawBytes(length),,,
,,buf.readFloatLE(offset),,,,,"ecdh.computeSecret(otherPublicKey[, inputEncoding][, outputEncoding])",dnsPromises.resolveMx(hostname),,,"fs.createReadStream(path[, options])","response.setHeader(name, value)",http2.getPackedSettings(settings),,,,"socket.setTimeout(timeout[, callback])",,,,process.hrtime([time]),,,,new stream.Readable([options]),,,,,,,,util.types.isInt8Array(value),deserializer._readHostObject(),,,
,,buf.readInt8(offset),,,,,"ecdh.generateKeys([encoding[, format]])",dnsPromises.resolveNaptr(hostname),,,"fs.createWriteStream(path[, options])","response.setTimeout(msecs[, callback])",http2.getUnpackedSettings(buf),,,,socket.unref(),,,,process.hrtime.bigint(),,,,readable._read(size),,,,,,,,util.types.isInt16Array(value),,,,
,,buf.readInt16BE(offset),,,,,ecdh.getPrivateKey([encoding]),dnsPromises.resolveNs(hostname),,,"fs.exists(path, callback)",,request.destroy([error]),,,,"socket.write(data[, encoding][, callback])",,,,"process.initgroups(user, extraGroup)",,,,"readable._destroy(err, callback)",,,,,,,,util.types.isInt32Array(value),,,,
,,buf.readInt16LE(offset),,,,,"ecdh.getPublicKey([encoding][, format])",dnsPromises.resolvePtr(hostname),,,fs.existsSync(path),,"request.setTimeout(msecs, callback)",,,,net.connect(),,,,"process.kill(pid[, signal])",,,,"readable.push(chunk[, encoding])",,,,,,,,util.types.isMap(value),,,,
,,buf.readInt32BE(offset),,,,,"ecdh.setPrivateKey(privateKey[, encoding])",dnsPromises.resolveSoa(hostname),,,"fs.fchmod(fd, mode, callback)",,response.addTrailers(headers),,,,"net.connect(options[, connectListener])",,,,,,,,new stream.Duplex(options),,,,,,,,util.types.isMapIterator(value),,,,
,,buf.readInt32LE(offset),,,,,"ecdh.setPublicKey(publicKey[, encoding])",dnsPromises.resolveSrv(hostname),,,"fs.fchmodSync(fd, mode)",,"response.end([data][, encoding][, callback])",,,,"net.connect(path[, connectListener])",,,,,,,,new stream.Transform([options]),,,,,,,,util.types.isModuleNamespaceObject(value),,,,
,,"buf.readIntBE(offset, byteLength)",,,,,hash.digest([encoding]),dnsPromises.resolveTxt(hostname),,,"fs.fchown(fd, uid, gid, callback)",,response.getHeader(name),,,,"net.connect(port[, host][, connectListener])",,,,,,,,transform._flush(callback),,,,,,,,util.types.isNativeError(value),,,,
,,"buf.readIntLE(offset, byteLength)",,,,,"hash.update(data[, inputEncoding])",dnsPromises.reverse(ip),,,"fs.fchownSync(fd, uid, gid)",,response.getHeaderNames(),,,,net.createConnection(),,,,,,,,"transform._transform(chunk, encoding, callback)",,,,,,,,util.types.isNumberObject(value),,,,
,,buf.readUInt8(offset),,,,,hmac.digest([encoding]),dnsPromises.setServers(servers),,,"fs.fdatasync(fd, callback)",,response.getHeaders(),,,,"net.createConnection(options[, connectListener])",,,,,,,,readable.read(0),,,,,,,,util.types.isPromise(value),,,,
,,buf.readUInt16BE(offset),,,,,"hmac.update(data[, inputEncoding])",dns.lookup(),,,fs.fdatasyncSync(fd),,response.hasHeader(name),,,,"net.createConnection(path[, connectListener])",,,,,,,,readable.push(''),,,,,,,,util.types.isProxy(value),,,,
,,buf.readUInt16LE(offset),,,,,"sign.sign(privateKey[, outputFormat])","dns.resolve(), dns.resolve*() and dns.reverse()",,,"fs.fstat(fd[, options], callback)",,response.removeHeader(name),,,,"net.createConnection(port[, host][, connectListener])",,,,,,,,,,,,,,,,util.types.isRegExp(value),,,,
,,buf.readUInt32BE(offset),,,,,"sign.update(data[, inputEncoding])",,,,"fs.fstatSync(fd[, options])",,"response.setHeader(name, value)",,,,"net.createServer([options][, connectionListener])",,,,,,,,,,,,,,,,util.types.isSet(value),,,,
,,buf.readUInt32LE(offset),,,,,"verify.update(data[, inputEncoding])",,,,"fs.fsync(fd, callback)",,"response.setTimeout(msecs[, callback])",,,,net.isIP(input),,,,,,,,,,,,,,,,util.types.isSetIterator(value),,,,
,,"buf.readUIntBE(offset, byteLength)",,,,,"verify.verify(object, signature[, signatureFormat])",,,,fs.fsyncSync(fd),,"response.write(chunk[, encoding][, callback])",,,,net.isIPv4(input),,,,,,,,,,,,,,,,util.types.isSharedArrayBuffer(value),,,,
,,"buf.readUIntLE(offset, byteLength)",,,,,crypto module methods and properties,,,,"fs.ftruncate(fd[, len], callback)",,response.writeContinue(),,,,net.isIPv6(input),,,,,,,,,,,,,,,,util.types.isStringObject(value),,,,
,,"buf.slice([start[, end]])",,,,,"crypto.createCipher(algorithm, password[, options])",,,,"fs.ftruncateSync(fd[, len])",,"response.writeHead(statusCode[, statusMessage][, headers])",,,,,,,,,,,,,,,,,,,,util.types.isSymbolObject(value),,,,
,,buf.swap16(),,,,,"crypto.createCipheriv(algorithm, key, iv[, options])",,,,"fs.futimes(fd, atime, mtime, callback)",,"response.createPushResponse(headers, callback)",,,,,,,,,,,,,,,,,,,,util.types.isTypedArray(value),,,,
,,buf.swap32(),,,,,crypto.createCredentials(details),,,,"fs.futimesSync(fd, atime, mtime)",,,,,,,,,,,,,,,,,,,,,,util.types.isUint8Array(value),,,,
,,buf.swap64(),,,,,"crypto.createDecipher(algorithm, password[, options])",,,,"fs.lchmod(path, mode, callback)",,,,,,,,,,,,,,,,,,,,,,util.types.isUint8ClampedArray(value),,,,
,,buf.toJSON(),,,,,"crypto.createDecipheriv(algorithm, key, iv[, options])",,,,"fs.lchmodSync(path, mode)",,,,,,,,,,,,,,,,,,,,,,util.types.isUint16Array(value),,,,
,,"buf.toString([encoding[, start[, end]]])",,,,,"crypto.createDiffieHellman(prime[, primeEncoding][, generator][, generatorEncoding])",,,,"fs.lchown(path, uid, gid, callback)",,,,,,,,,,,,,,,,,,,,,,util.types.isUint32Array(value),,,,
,,buf.values(),,,,,"crypto.createDiffieHellman(primeLength[, generator])",,,,"fs.lchownSync(path, uid, gid)",,,,,,,,,,,,,,,,,,,,,,util.types.isWeakMap(value),,,,
,,"buf.write(string[, offset[, length]][, encoding])",,,,,crypto.createECDH(curveName),,,,"fs.link(existingPath, newPath, callback)","response.write(chunk[, encoding][, callback])",,,,,,,,,,,,,,,,,,,,,util.types.isWeakSet(value),,,,
,,"buf.writeDoubleBE(value, offset)",,,,,"crypto.createHash(algorithm[, options])",,,,"fs.linkSync(existingPath, newPath)",response.writeContinue(),,,,,,,,,,,,,,,,,,,,,util.types.isWebAssemblyCompiledModule(value),,,,
,,"buf.writeDoubleLE(value, offset)",,,,,"crypto.createHmac(algorithm, key[, options])",,,,"fs.lstat(path[, options], callback)","response.writeHead(statusCode[, statusMessage][, headers])",,,,,,,,,,,,,,,,,,,,,"util._extend(target, source)",,,,
,,"buf.writeFloatBE(value, offset)",,,,,"crypto.createSign(algorithm[, options])",,,,"fs.lstatSync(path[, options])",response.writeProcessing(),,,,,,,,,,,,,,,,,,,,,util.debug(string),,,,
,,"buf.writeFloatLE(value, offset)",,,,,"crypto.createVerify(algorithm[, options])",,,,"fs.mkdir(path[, mode], callback)",message.destroy([error]),,,,,,,,,,,,,,,,,,,,,util.error([...strings]),,,,
,,"buf.writeInt8(value, offset)",,,,,crypto.getCiphers(),,,,"fs.mkdirSync(path[, mode])","message.setTimeout(msecs, callback)",,,,,,,,,,,,,,,,,,,,,util.isArray(object),,,,
,,"buf.writeInt16BE(value, offset)",,,,,crypto.getCurves(),,,,"fs.mkdtemp(prefix[, options], callback)",,,,,,,,,,,,,,,,,,,,,,util.isBoolean(object),,,,
,,"buf.writeInt16LE(value, offset)",,,,,crypto.getDiffieHellman(groupName),,,,"fs.mkdtempSync(prefix[, options])",,,,,,,,,,,,,,,,,,,,,,util.isBuffer(object),,,,
,,"buf.writeInt32BE(value, offset)",,,,,crypto.getFips(),,,,"fs.open(path, flags[, mode], callback)",,,,,,,,,,,,,,,,,,,,,,util.isDate(object),,,,
,,"buf.writeInt32LE(value, offset)",,,,,crypto.getHashes(),,,,"fs.openSync(path, flags[, mode])",,,,,,,,,,,,,,,,,,,,,,util.isError(object),,,,
,,"buf.writeIntBE(value, offset, byteLength)",,,,,"crypto.pbkdf2(password, salt, iterations, keylen, digest, callback)",,,,"fs.read(fd, buffer, offset, length, position, callback)",,,,,,,,,,,,,,,,,,,,,,util.isFunction(object),,,,
,,"buf.writeIntLE(value, offset, byteLength)",,,,,"crypto.pbkdf2Sync(password, salt, iterations, keylen, digest)",,,,"fs.readdir(path[, options], callback)",,,,,,,,,,,,,,,,,,,,,,util.isNull(object),,,,
,,"buf.writeUInt8(value, offset)",,,,,"crypto.privateDecrypt(privateKey, buffer)",,,,"fs.readdirSync(path[, options])",,,,,,,,,,,,,,,,,,,,,,util.isNullOrUndefined(object),,,,
,,"buf.writeUInt16BE(value, offset)",,,,,"crypto.privateEncrypt(privateKey, buffer)",,,,"fs.readFile(path[, options], callback)",,,,,,,,,,,,,,,,,,,,,,util.isNumber(object),,,,
,,"buf.writeUInt16LE(value, offset)",,,,,"crypto.publicDecrypt(key, buffer)",,,,"fs.readFileSync(path[, options])",,,,,,,,,,,,,,,,,,,,,,util.isObject(object),,,,
,,"buf.writeUInt32BE(value, offset)",,,,,"crypto.publicEncrypt(key, buffer)",,,,"fs.readlink(path[, options], callback)",,,,,,,,,,,,,,,,,,,,,,util.isPrimitive(object),,,,
