,,"os.execve(path, args, env)"
,,"os.execvp(file, args)"
,,"os.execvpe(file, args, env)"
,,"os.write(fd, str)"
,,"os.writev(fd, buffers)"
,,"pickle.dump(obj, file, protocol=None, *, fix_imports=True)"
,,"marshal.dump(value, file[, version])"
,,"sqlite3.Connection.execute(sql[, parameters])"
,,"sqlite3.Connection.executemany(sql, seq_of_parameters)"
,,sqlite3.Connection.executescript(sql_script)
,,"ZipFile.write(filename, arcname=None, compress_type=None, compresslevel=None)"
,,threading.Thread.run()
,,multiprocessing.Process.run()
,,multiprocessing.connection.Connection.send(obj)
,,"multiprocessing.connection.Connection.send_bytes(buffer[, offset[, size]])"
,,"runpy.run_path(file_path, init_globals=None, run_name=None)"
,,"subprocess.run(args, *, stdin=None, input=None, stdout=None, stderr=None, capture_output=False, shell=False, cwd=None, timeout=None, check=False, encoding=None, errors=None, text=None, env=None)"
,,"runpy.run_module(mod_name, init_globals=None, run_name=None, alter_sys=False)"
,,"os.pwrite(fd, str, offset)"
,,"os.pwritev(fd, buffers, offset, flags=0)"
,,"os.rename(src, dst, *, src_dir_fd=None, dst_dir_fd=None)"
,,"os.replace(src, dst, *, src_dir_fd=None, dst_dir_fd=None)"
,,"os.spawnl(mode, path, ...)"
,,"os.spawnle(mode, path, ..., env)"
,,"os.spawnlp(mode, file, ...)"
,,"os.spawnlpe(mode, file, ..., env)"
,,"os.spawnv(mode, path, args)"
,,"os.spawnve(mode, path, args, env)"
,,"os.spawnvp(mode, file, args)"
,,"os.spawnvpe(mode, file, args, env)"
,,"os.startfile(path[, operation])"
,,os.system(command)
,,"os.register_at_fork(*, before=None, after_in_parent=None, after_in_child=None)"
,,"eval(expression, globals=None, locals=None)"
,,"exec(object[, globals[, locals]])"
,,io.IOBase.writelines(lines)
,,"compile(source, filename, mode, flags=0, dont_inherit=False, optimize=-1)¶"
